frame	time(s)	nformants	F1(Hz)	B1(Hz)	F2(Hz)	B2(Hz)	F3(Hz)	B3(Hz)	F4(Hz)	B4(Hz)	F5(Hz)	B5(Hz)	F6(Hz)	B6(Hz)	F7(Hz)	B7(Hz)	F8(Hz)	B8(Hz)	F9(Hz)	B9(Hz)	F10(Hz)	B10(Hz)	F11(Hz)	B11(Hz)	F12(Hz)	B12(Hz)
1	0.025249	11	368.466	179.304	975.166	349.666	1460.982	303.234	1975.948	212.991	2321.598	270.531	2801.756	173.373	3257.207	107.493	3772.190	171.477	4289.153	131.307	4710.284	249.223	5103.359	236.273	--undefined--	--undefined--
2	0.030249	11	466.615	115.338	1025.574	221.346	1387.650	180.326	1890.585	123.742	2341.381	149.138	2851.752	112.978	3239.443	128.485	3748.811	200.180	4249.764	121.296	4719.422	130.803	5206.969	386.590	--undefined--	--undefined--
3	0.035249	11	501.255	120.928	1023.343	210.349	1371.759	181.797	1860.020	93.832	2354.540	121.295	2841.474	104.513	3285.334	200.251	3775.195	212.528	4300.834	244.361	4711.770	126.065	5282.801	766.696	--undefined--	--undefined--
4	0.040249	11	521.629	292.042	890.745	354.464	1363.451	317.444	1824.242	110.319	2340.413	125.761	2801.505	93.892	3338.649	270.043	3785.395	144.196	4334.217	182.075	4709.996	224.794	5194.404	689.454	--undefined--	--undefined--
5	0.045249	11	362.516	219.003	861.180	245.898	1360.854	333.062	1844.080	110.523	2341.233	189.319	2827.045	171.152	3393.408	390.602	3807.412	337.524	4374.769	448.367	4407.229	644.744	4784.576	714.070	--undefined--	--undefined--
6	0.050249	11	303.171	163.212	951.058	175.409	1438.564	227.462	1905.044	141.981	2488.683	280.830	2867.877	600.791	3312.648	291.284	3842.573	349.308	4258.555	455.001	4525.925	282.753	5329.051	653.154	--undefined--	--undefined--
7	0.055249	11	298.636	137.202	954.160	129.653	1468.231	169.296	1950.715	278.935	2523.104	148.360	2891.349	1194.804	3241.716	160.997	3777.655	259.368	4361.428	211.285	4608.144	499.133	5182.189	342.991	--undefined--	--undefined--
8	0.060249	11	381.578	167.920	956.772	141.424	1475.560	198.515	1929.599	155.777	2565.186	170.497	3039.756	1784.413	3179.108	247.021	3751.975	358.440	3987.607	1369.429	4350.656	246.806	4922.522	179.685	--undefined--	--undefined--
9	0.065249	11	422.836	166.184	1001.891	185.884	1422.999	270.435	1918.559	90.854	2539.967	275.569	2847.971	399.004	3312.683	230.995	3819.339	229.517	4244.085	241.502	4579.622	2279.208	4888.386	102.465	--undefined--	--undefined--
10	0.070249	11	408.510	183.843	998.416	248.175	1430.935	243.947	1891.539	120.056	2425.957	122.787	2832.338	230.377	3240.740	218.864	3785.515	158.112	4251.763	1129.508	4336.680	240.002	4893.482	144.380	--undefined--	--undefined--
11	0.075249	11	231.850	413.673	702.868	351.515	1318.602	246.543	1875.191	196.357	2360.424	177.240	2864.687	126.766	3263.578	460.026	3775.358	127.311	4340.058	187.857	4804.129	528.990	5040.598	603.457	--undefined--	--undefined--
12	0.080249	12	256.736	273.274	696.724	244.276	1296.948	198.493	1720.325	6088.611	1925.986	136.962	2344.045	195.268	2875.004	98.835	3306.872	334.682	3777.344	154.501	4318.476	191.467	4760.398	536.865	5232.418	478.953
13	0.085249	11	305.484	258.828	731.682	291.878	1371.999	132.828	1908.140	125.510	2326.404	173.405	2909.801	171.666	3359.705	283.373	3814.550	238.348	4241.315	2372.608	4378.244	193.502	4951.135	313.980	--undefined--	--undefined--
14	0.090249	11	329.699	203.014	793.233	273.711	1411.897	176.255	1903.403	212.719	2339.600	171.134	2983.423	299.352	3447.961	3585.533	3462.741	210.755	3917.454	310.505	4495.534	254.122	4938.106	300.897	--undefined--	--undefined--
15	0.095249	11	307.150	129.771	882.886	137.384	1447.245	278.310	1877.154	260.299	2290.297	157.908	2889.680	301.902	3421.250	260.924	3586.045	910.824	4064.430	372.612	4574.963	283.858	5008.244	266.141	--undefined--	--undefined--
16	0.100249	11	321.576	106.249	891.358	142.973	1376.567	221.852	1884.172	173.712	2303.458	168.175	2840.421	126.408	3340.031	270.948	3714.270	490.293	4191.499	190.025	4667.411	353.388	5065.432	251.368	--undefined--	--undefined--
17	0.105249	11	436.103	141.638	917.139	227.729	1375.503	167.356	1902.862	180.048	2375.234	248.809	2819.053	183.114	3278.137	316.731	3746.746	329.653	4209.545	191.707	4678.422	332.936	5069.488	262.112	--undefined--	--undefined--
18	0.110249	11	473.445	147.148	951.876	185.257	1423.613	210.532	1919.366	263.098	2364.561	183.655	2836.698	244.530	3259.447	345.677	3787.461	178.468	4195.889	290.734	4695.755	331.034	5084.037	408.619	--undefined--	--undefined--
19	0.115249	11	461.850	156.186	922.251	129.358	1469.660	227.530	1898.994	160.531	2329.101	140.665	2880.431	212.309	3271.192	411.081	3785.970	115.393	4219.381	202.197	4698.629	195.941	5096.730	226.076	--undefined--	--undefined--
20	0.120249	11	437.151	229.303	939.608	199.146	1430.935	257.671	1864.762	100.228	2320.168	80.816	2917.447	196.803	3343.181	570.104	3727.797	179.589	4213.848	151.445	4665.293	179.478	5118.125	194.737	--undefined--	--undefined--
21	0.125249	11	445.046	217.557	1002.338	185.169	1443.248	395.865	1853.764	184.996	2315.884	116.356	2919.668	256.126	3101.356	537.659	3654.169	174.565	4142.434	125.628	4601.467	307.756	4948.353	360.382	--undefined--	--undefined--
